,Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
0,1006032852,sexy,low,4.6,m,summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal,1
1,1212192089,casual,low,0.0,l,summer,o-neck,petal,natural,microfiber,null,ruffles,animal,0
2,1190380701,vintage,high,0.0,l,automn,o-neck,full,natural,polyster,null,null,print,0
3,966005983,brief,average,4.6,l,spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
4,876339541,cute,low,4.5,m,summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
5,1068332458,bohemian,low,0.0,m,summer,v-neck,sleevless,empire,null,null,null,print,0
6,1220707172,casual,average,0.0,xl,summer,o-neck,full,null,cotton,null,null,solid,0
7,1219677488,novelty,average,0.0,free,automn,o-neck,short,natural,polyster,broadcloth,lace,null,0
8,1113094204,flare,average,0.0,free,spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
9,985292672,bohemian,low,0.0,free,summer,v-neck,sleevless,natural,nylon,chiffon,null,null,1
10,1117293701,party,average,5.0,free,summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
11,898481530,flare,average,0.0,free,spring,v-neck,short,null,nylon,null,null,animal,0
12,957723897,sexy,low,4.7,m,winter,o-neck,threequarter,null,null,chiffon,lace,print,1
13,749031896,vintage,average,4.8,m,summer,o-neck,short,empire,cotton,jersey,null,animal,1
14,1055411544,casual,low,5.0,m,summer,boat-neck,short,null,cotton,null,sashes,solid,0
15,1162628131,casual,low,0.0,free,winter,boat-neck,full,null,other,other,lace,null,0
16,624314841,cute,average,4.7,l,spring,o-neck,short,null,cotton,null,sashes,solid,1
17,830467746,bohemian,medium,5.0,free,automn,o-neck,full,natural,null,null,hollowout,patchwork,1
18,840857118,brief,average,0.0,m,winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork,0
19,1113221101,sexy,average,5.0,m,automn,o-neck,sleevless,empire,milksilk,null,null,null,1
20,861754372,sexy,average,4.5,l,automn,o-neck,full,null,cotton,null,beading,solid,0
21,856178100,casual,low,4.3,m,summer,o-neck,sleevless,natural,null,chiffon,null,solid,0
22,1122989777,brief,low,4.0,xl,summer,v-neck,short,natural,cotton,null,pockets,solid,0
23,840516484,sexy,average,4.7,s,summer,v-neck,sleevless,empire,cotton,null,sequined,solid,1
24,768517084,sexy,average,0.0,free,automn,v-neck,sleevless,natural,polyster,null,lace,patchwork,0
25,1139843344,sexy,average,0.0,m,automn,o-neck,sleevless,empire,cotton,broadcloth,null,print,0
26,1004212992,sexy,average,4.7,m,spring,o-neck,sleevless,natural,null,null,null,solid,1
27,1235426503,casual,low,0.0,l,summer,o-neck,sleevless,natural,cotton,jersey,null,print,0
28,942808364,cute,low,4.3,free,automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
29,629131530,cute,low,4.7,m,spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
30,851945460,casual,average,4.6,l,automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
31,1150275464,casual,low,0.0,m,spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
32,1026634314,casual,average,4.4,l,automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
33,978773911,brief,average,4.3,l,spring,o-neck,sleevless,empire,null,null,bow,solid,1
34,827791337,party,high,4.7,m,spring,o-neck,threequarter,null,null,null,null,print,0
35,640823350,casual,low,4.6,free,winter,boat-neck,full,natural,cotton,null,null,patchwork,1
36,801861988,vintage,average,4.6,free,winter,o-neck,full,natural,null,chiffon,null,print,1
37,1060207186,brief,average,0.0,m,automn,o-neck,short,natural,cotton,null,null,print,0
38,1054679816,party,average,4.6,m,winter,o-neck,sleevless,natural,cotton,null,lace,solid,1
39,941190190,casual,average,4.5,m,spring,v-neck,short,empire,cotton,null,button,solid,1
40,943844640,brief,average,5.0,free,spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
41,661795386,brief,low,4.4,l,automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
42,875312593,casual,average,4.8,m,winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0
43,971387676,casual,low,4.8,free,spring,o-neck,sleevless,natural,cotton,null,null,print,0
44,1021185637,vintage,average,4.8,m,winter,o-neck,sleevless,natural,cotton,null,null,patchwork,1
45,1163826114,sexy,average,0.0,m,winter,o-neck,short,natural,null,null,lace,solid,0
46,735635595,sexy,average,4.8,l,spring,v-neck,threequarter,empire,polyster,null,lace,geometric,0
47,1175184188,casual,average,0.0,m,summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
48,679415939,casual,low,4.7,m,summer,o-neck,sleevless,empire,milksilk,null,null,solid,0
49,884147971,casual,medium,0.0,l,winter,boat-neck,full,empire,null,null,null,solid,1
50,841203385,sexy,low,5.0,free,summer,v-neck,sleevless,empire,null,chiffon,null,animal,1
51,1117997056,casual,low,4.3,free,summer,o-neck,sleevless,null,milksilk,null,null,animal,0
52,1160536550,casual,average,0.0,l,spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
53,828623528,casual,average,4.6,free,automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
54,763708514,sexy,average,4.5,m,spring,o-neck,threequarter,natural,polyster,null,lace,geometric,0
55,1153442065,novelty,average,0.0,s,winter,turndowncollor,full,natural,cotton,null,null,patchwork,0
56,743729613,casual,average,4.9,s,winter,turndowncollor,full,natural,cotton,null,null,solid,1
57,1000493051,sexy,low,4.6,l,automn,o-neck,sleevless,natural,null,null,lace,solid,1
58,911085061,bohemian,low,4.5,m,summer,v-neck,sleevless,natural,polyster,null,null,print,1
59,1174854264,work,average,0.0,m,automn,slash-neck,sleevless,natural,polyster,null,bow,patchwork,0
60,1053296757,cute,high,0.0,m,spring,v-neck,full,natural,rayon,null,null,solid,1
61,1033843327,casual,average,0.0,free,spring,o-neck,short,natural,cotton,null,hollowout,plaid,0
62,1083779666,casual,average,5.0,m,summer,o-neck,short,empire,polyster,chiffon,null,animal,0
63,746255172,casual,average,4.7,m,spring,o-neck,sleevless,natural,null,chiffon,sashes,solid,0
64,1100974555,sexy,low,4.0,s,automn,o-neck,sleevless,empire,cotton,null,null,solid,1
65,1019134411,casual,average,5.0,m,automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0
66,1072477320,casual,low,0.0,free,summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
67,638423913,casual,medium,4.5,s,winter,o-neck,full,natural,polyster,null,null,patchwork,1
68,936425780,work,average,4.8,l,summer,v-neck,short,natural,polyster,null,hollowout,solid,0
69,1146088956,casual,medium,0.0,m,automn,v-neck,short,empire,polyster,null,null,solid,0
70,864253055,bohemian,average,5.0,free,summer,v-neck,sleevless,natural,cotton,batik,null,print,1
71,1210582154,sexy,low,0.0,m,spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
72,926480831,sexy,average,4.2,m,winter,v-neck,sleevless,natural,cotton,flannael,null,solid,0
73,757260823,casual,low,4.8,free,spring,o-neck,full,natural,cotton,worsted,lace,solid,0
74,630561922,casual,low,4.4,s,automn,o-neck,sleevless,natural,polyster,null,null,solid,0
75,734061929,casual,low,4.7,l,spring,o-neck,short,null,chiffonfabric,chiffon,bow,dot,0
76,842060995,casual,average,5.0,xl,winter,boat-neck,full,null,cotton,null,null,geometric,1
77,1078431253,casual,low,0.0,free,spring,v-neck,sleevless,null,cotton,null,null,print,0
78,939770391,casual,average,0.0,free,spring,o-neck,sleevless,natural,null,chiffon,null,solid,0
79,943188872,bohemian,very-high,4.7,free,winter,v-neck,sleevless,null,polyster,null,null,null,1
80,1130994272,casual,low,5.0,m,summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0
81,907117649,party,average,4.7,m,spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0
82,967999477,sexy,low,5.0,free,spring,o-neck,full,natural,cotton,worsted,null,striped,0
83,944656411,vintage,low,4.6,m,summer,o-neck,short,natural,null,chiffon,null,print,0
84,1096779299,casual,average,0.0,free,winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
85,1036333255,casual,low,4.9,l,summer,boat-neck,short,null,null,chiffon,null,patchwork,1
86,1065316076,casual,low,0.0,s,automn,o-neck,full,natural,null,null,beading,solid,1
87,995802744,sexy,average,4.0,s,automn,v-neck,sleevless,null,rayon,chiffon,null,patchwork,1
88,1018110870,sexy,low,5.0,m,automn,o-neck,full,natural,null,chiffon,lace,print,1
